UID,NAME,PROV,CITY,DIST,ADDRESS,TEL,LONG,LAT
25aee6ae113309e7abf0cd71,林凤装饰体验馆,辽宁省,沈阳市,铁西区,铁西区兴华北街18号千缘财富商汇5层,,123.38802,41.815571
8cba4bb05edaa384ac04579d,沈阳龙坤装饰工程有限公司,辽宁省,沈阳市,铁西区,辽宁省沈阳市铁西区建设东路49号-3门,(024)25657007,123.385241,41.796654
d884b9d9e92ce95cb320a8f9,奉泉装饰,辽宁省,沈阳市,皇姑区,辽宁省沈阳市皇姑区淮河南街11号,,123.394013,41.82831
ce1a938f34fbc519047ce83f,恒大家装,,,,铁西区兴华北街小北一路7甲号12门,,123.389077,41.815064
1e9841fb16cbf022abf0cd6f,沈阳九创装饰工程有限公司,辽宁省,沈阳市,铁西区,沈阳市沈阳市兴华北街11号,,123.388476,41.814193
6f44b5da5fb5aa2febe58228,沈阳品艺装饰工程有限公司,,,,沈阳市沈阳市兴华北街18甲5门,4000245007,123.387855,41.815868
8183366b4a4cad2b26e0a02d,沈阳宜家装饰工程有限公司,辽宁省,沈阳市,铁西区,辽宁省沈阳市铁西区兴华北街小北一路千缘财富商汇B座4门,(024)31327839,123.387624,41.81589
3c4daf633fa94106276e982b,绿港装饰(铁西体验馆),辽宁省,沈阳市,铁西区,小北一路千缘财富商汇大厦B座3门18甲,,123.387978,41.815284
5dbd2f68ded54b32932ca3bf,龙发装饰,,,,兴华北街45号e附近,,123.379978,41.803324
66bfa0b95213ae97b5f42f36,沈阳匠臣装饰有限公司,辽宁省,沈阳市,铁西区,辽宁省沈阳市铁西区保工北街18号-6-3门,,123.373377,41.819739
fd4942591adc6ea95e0d02b0,沈阳枫和万家装饰工程有限公司,辽宁省,沈阳市,铁西区,辽宁省沈阳市铁西区保工南街83号11门,"(024)31671700,4000409339",123.351471,41.791298
b1fab0bf365d72e748cc4a92,峰之翼钣金喷漆美容装饰快修保养,,,,辽宁省沈阳市和平区南十马路3号-2门,,123.3912,41.782536
7388c6dbd0bf4fdabe4842c2,一龙装饰(沈阳店),,,,华山街道昆山西路55号,,123.394586,41.831161
a391cc18445534ccb35c6a3a,桓宇装饰工程有限公司,辽宁省,沈阳市,铁西区,兴华北街25-1-2门(君临天下东门对面),,123.38329,41.807402
3ee511a3b46df327d5b74e06,米兰装饰,,,,沈阳市于洪区汪河路33号,,123.36726,41.763262
b2a7c7c3dc19b0015cd4fe94,沈阳安九州装饰材料有限公司,,,,辽宁省沈阳市市于洪区沈阳经济技术开发区沈新路310-6号,,123.247521,41.800586
eb0a180c3b55e7c308f5ebaa,方林装饰(市场部),,,,兴华街道小北二路新财富大厦27楼,"4000651918,(024)31351918",123.384974,41.810929
