UID,NAME,PROV,CITY,DIST,ADDRESS,TEL,LONG,LAT
b2a7c7c3dc19b0015cd4fe94,沈阳安九州装饰材料有限公司,,,,辽宁省沈阳市市于洪区沈阳经济技术开发区沈新路310-6号,,123.247521,41.800586
03e92c0633809e9516948e5b,沈阳隆成高分子装饰材料有限公司,辽宁省,沈阳市,于洪区,翟家街道经济开发区浑河17街开发26号路54号,,123.242728,41.70979
81954e7187f7ad0cae080f7b,军诚装饰,,,,中央南大街与中央大街交叉口东100米,,123.256781,41.749718
86033fde4d479b00fda7783c,吉诺尔装饰材料公司,,,,辽宁省沈阳市于洪区开发二十二号路36号,,123.239526,41.725583
54df8a0e53c438356f3e1bf6,大华汽车美容会所,辽宁省,沈阳市,于洪区,辽宁省沈阳市铁西区沈辽西路100号-1-8门,,123.265193,41.757921
f54747238bdd93208936ee99,兄弟五金建材装饰,,,,辽宁省沈阳市于洪区中央大街27甲2号6门,,123.258313,41.755406
f9d8e5f1fbd9acca14b54b39,欧佳装饰,,,,辽宁省沈阳市于洪区中央大街29-54-7门,,123.255397,41.753497
5da4656037e18e634afc8d20,宏宇装饰,,,,辽宁省沈阳市铁西区中央大街28-8网点2门,,123.251022,41.752241
9d57ce976d7979cbeb1e9732,沈阳金都铝业装饰工程有限公司,,,,浑河三街沈阳金都铝业装饰工程有限公司附近,,123.287791,41.737219
95501354fd260ee6d23ce30f,佳利福装修装饰材料,,,,辽宁省沈阳市于洪区沈辽西路168号15-12门,,123.227783,41.73247
783951575b383014f603b842,谦诚装饰公司,,,,辽宁省沈阳市于洪区金湖街(嘉鹏宾馆东南),,123.290051,41.799154
bbf1ff1d4fb5da0141e19255,鑫浩天装饰材料城,辽宁省,沈阳市,于洪区,沈阳市铁西区,,123.269704,41.751831
21f05caa680f8205c42ba19c,佳邑装饰(中央大街精品店),辽宁省,沈阳市,于洪区,沈阳市铁西区中央大街27甲7门,,123.257995,41.755024
8c9532b06b246fa82d4733c5,悦景装饰,,,,浑河十一街1-5号1门,,123.243246,41.738076
b299cc81123a7990b320a8ef,沈阳时苑装饰工程有限公司,辽宁省,沈阳市,于洪区,南四号街东150米,,123.283477,41.756428
8912cb807f7bcfdbede4a5c8,会友装饰,,,,辽宁省沈阳市铁西区中央大街20-甲2-30,67891765;15542243349,123.251105,41.762613
3c2e240dd6592a75a6c75649,鹏达装饰,,,,浑河二街2甲6号19号楼3-1-1淀粉厂对面,,123.276084,41.757198
